Nombre de la Unidad Económica,Latitud,Longitud
VENTA DE ACCESORIOS Y CROQUETAS PARA MASCOTAS,19.37003991,-99.02697674
VENTA DE CAMAS PARA MASCOTAS,19.2636496,-99.13123941
A PATA DE PERRO,19.44346533,-99.12195962
ACUA MASCOTA,19.34888454,-98.99153865
ACUAMASCOTAS VETERINARIA,19.47492618,-99.16001236
ADOPTANDO UN CORAZON CANINO,19.43335659,-99.17329834
ALFA PETS,19.47171787,-99.07185326
AMALTEA,19.31589031,-99.12154439
AMERICAN PETS CENTER CLINICA VETERINARIA,19.36409349,-99.17483454
ANAKALIA CLINICA VETERINARIA,19.37261687,-99.18587924
ANGELES PETS,19.34163849,-99.02321356
ANGIRU CENTRO VETERINARIO,19.36587818,-99.17826096
ANGUS PET,19.49540371,-99.17839037
ANIMAGICO,19.45055115,-99.15635434
ANIMAL CAR HEALTH HOSPITAL VETERINARIO,19.26706305,-99.12963526
ANIMAL CARE,19.52123795,-99.16247267
ANIMAL CARE CENTER,19.33735037,-99.23678911
ANIMAL CLINICA VETERINARIA,19.50224614,-99.1286953
ANIMAL CONFORT,19.38693783,-99.22214823
ANIMAL HEALTH CENTER,19.39830758,-99.1592411
ANIMAL HOME,19.33321458,-99.20247447
ANIMAL HOME HOSPITAL VETERINARIO,19.29634122,-99.12746883
ANIMAL HOSPITAL,19.40724062,-99.23987132
ANIMAL HOUSE,19.27572838,-99.00214873
ANIMAL LIFE,19.36442026,-99.17870866
ANIMAL MEDICAL CENTER,19.42305298,-99.10920876
ANIMAL PAWS,19.27694142,-99.11682191
ANIMAL PETS,19.37175371,-99.00604304
ANIMAL REHAB,19.33545663,-99.12997547
ANIMAL WORLD,19.36112448,-99.11531823
ANIMAL ZONE,19.36143627,-99.15168547
ANIMAL ZOOM,19.39618232,-99.15977295
ANIMALANDIA,19.36556723,-99.00547313
ANIMALIA CLINICA VETERINARIA,19.32141077,-99.08054041
ANIMALITOIS,19.38902709,-99.15676356
ANIMALITOS,19.31130555,-99.10117593
ANIMALITOS,19.3661197,-99.09431284
ANIMALITOS HOSPITAL VETERINARIO,19.43609013,-99.20113217
ANIMANIA,19.4349887,-99.18674162
ANTOJITOS MEXICANOS TEN TEN PIE,19.44061053,-99.08843711
ARA MACAU CENTRO VETERINARIO,19.3952588,-99.181231
ARBOLEDAS CLINICA Y ESTETICA VETERINARIA,19.29416562,-99.13885399
ARCOS BULLDOG,19.32944255,-99.08624844
ARTURO GUERRERO MORALES,19.45064523,-99.15472554
AS DE PICAS VETERINARIO,19.47513215,-99.08961883
ASISTENCIA VETERINARIA INTEGRAL AVI,19.38534582,-99.10739388
ATENCION INTEGRAL MEDICO VETERINARIO,19.3337834,-99.21805069
ATENCION VETERINARIA,19.44775998,-99.10643224
ATENCION VETERINARIA ANIMALS,19.21351484,-98.99528608
ATENCION VETERINARIA SIN NOMBRE,19.36067633,-99.23591835
